name,officialWebsite,latitude,longitude
Greek Peak Ski Resort,http://www.greekpeak.net/,42.5027310868904,-76.1465835571289
Hickory Ski Center,http://www.hickoryskicenter.com/,43.47427115876134,-73.81705284118652
Tuxedo Ridge,,41.2459178486654,-74.2277956008911
Thunder Ridge,,41.5082880598764,-73.5809755325317
Bobcat Ski Center,,42.2248310548184,-74.7439384460449
Peek'n Peak Ski Area,,42.0625,-79.736666666667
Cockaigne Ski Resort,http://www.cockaigne.com/,42.2644475136505,-79.1664505004883
Dry Hill Ski Area,http://skidryhill.com,43.9311261894552,-75.9016227722168
Toggenburg Ski Center,,42.8258131056611,-75.9640645980835
Labrador Mountain,https://www.skicny.com/labrador/,42.7397947671525,-76.0356473922729
Mt. Peter Ski Area,http://mtpeter.com/,41.2463534581944,-74.2935419082642
Song Mountain,,42.7719672040121,-76.1622047424316
Brantling Ski Slopes,,43.150048947611836,-77.06570148468018
Swain Ski & Snowboard Resort,http://www.swain.com/,42.4731098490491,-77.8549575805664
Holiday Mountain,,41.6276652967621,-74.6107292175293
Snow Ridge,https://snowridge.com,43.63980217371652,-75.42062759399414
Bristol Mountain Ski Resort,http://www.bristolmountain.com/,42.745,-77.404444444444
Mt. Pisgah,,44.3453967221658,-74.1253566741943
Hunter Mountain,https://www.huntermtn.com,42.201815408497,-74.221671060458
Titus Mountain,https://www.titusmountain.com/,44.763333333333,-74.235277777778
West Mountain Ski Area,,43.285555555556,-73.728333333333
Holiday Valley Resort,http://www.holidayvalley.com/,42.258720698141,-78.67682977593
HoliMont,http://holimont.com,42.2707038126415,-78.6857986450195
Gore Mountain,http://www.goremountain.com,43.677998899043,-74.024149919828
Four Seasons Ski Center,http://fourseasonsgolfandski.com/,43.035787773300804,-75.97217559814453
Villa Roma Ski Area,http://www.villaroma.com/,41.76398173186272,-74.96928691864014
Catamount Ski Area,http://www.catamountski.com/,42.16907004243619,-73.47694849734853
Belleayre Mountain,http://www.belleayre.com/,42.131072116123,-74.508764686467
Hunt Hollow,,42.6412831435398,-77.482967376709
Willard Mountain Ski Area,,43.02118422816625,-73.5164737701416
Woods Valley Ski Area,,43.2994472152031,-75.3811454772949
McCauley Mountain,http://www.mccauleyny.com/,43.6957417551058,-74.9619483947754
Sawkill Family Ski Center,http://www.sawkillski.com/,41.98518,-74.043855
Windham Mountain,,42.2925483514302,-74.2572784423828
Angel Fire Resort,,36.381388888889,-105.23888888889
Sandia Peak Ski Area,https://sandiapeak.com/,35.190555555556,-106.47944444444
Red River Ski Area,,36.7007693683308,-105.408668518066
Ski Apache,https://www.skiapache.com/,33.397222222222,-105.79916666667
Ski Santa Fe,http://www.skisantafe.com/,35.790781247601,-105.7918852975
Pajarito Mountain,,35.894166666667,-106.39027777778
Sipapu Ski Area,,36.154211111111,-105.54850833333
Taos Ski Valley,,36.581549006993,-105.45122154545
Mountain Creek,http://www.mountaincreek.com,41.17825804,-74.5321622
Campgaw Mountain,https://www.skicampgaw.com,41.05880190020222,-74.19601008296014
National Winter Activity Center (Hidden Valley),https://winter4kids.org/,41.1842094526352,-74.480094909668
Gunstock Ski Area,,43.5373493971894,-71.3697624206543
Crotched Mountain,https://www.crotchedmtn.com/,43.00527480302554,-71.87908172607423
Cranmore Mountain Resort,http://www.cranmore.com/,44.0566285237131,-71.1026573181152
Dartmouth Skiway,https://sites.dartmouth.edu/skiway/about/,43.786938888889,-72.100830555556
Bretton Woods Ski Area,,44.252185275444,-71.467210625584
Cannon Mountain,http://www.cannonmt.com/,44.170096274407,-71.699263953975
Black Mountain,https://www.blackmt.com,44.1703848825962,-71.1651420593262
Attitash,,44.0756236772445,-71.2363815307617
The Balsams - Wilderness,https://thebalsamsresort.com/vision/ski-expansion/,44.8572073585438,-71.3211822509766
Ragged Mountain,,43.484444444444,-71.842222222222
Loon Mountain,https://www.loonmtn.com/,44.045973468819,-71.63237615372
Waterville Valley,https://www.waterville.com/,43.961901408532,-71.539176884309
King Pine Ski Area,,43.871388888889,-71.089444444444
Pats Peak Ski Area,,43.163333333333,-71.795833333333
Wildcat Mountain,,44.263055555556,-71.238333333333
Mount Sunapee Ski Area,http://www.mountsunapee.com/,43.324254916265,-72.076243340362
Mt. Rose Ski Tahoe,http://www.mtrose.com/,39.319557316486,-119.883263213
Diamond Peak,http://www.diamondpeak.com/,39.2519294896206,-119.92280960083
Lee Canyon,http://www.leecanyonlv.com/site,36.301638888889,-115.68075833333
Big Sky Resort,http://www.bigskyresort.com,45.28018935472,-111.41386215339
Marshall Mountain,,46.92002082006372,-113.90693664550781
Blacktail Mountain Ski Area,,48.0157646155942,-114.368705749512
Red Lodge Mountain,https://www.redlodgemountain.com/,45.1908084191151,-109.335079193115
Showdown Ski Area,http://www.showdownmontana.com,46.838611111111,-110.70888888889
Discovery Ski Area,http://www.skidiscovery.com/,46.256388888889,-113.24194444444
Whitefish Mountain Resort,https://skiwhitefish.com,48.4839593524968,-114.35583114624
Montana Snowbowl,,47.023611111111,-113.99722222222
Turner Mountain,,48.605,-115.63055555556
Maverick Mountain Ski Area,,45.4340570986453,-113.1276798248291
Great Divide Snowsports,http://www.skigd.com/,46.7497,-112.3043
Teton Pass Ski Area,https://www.skitetonmt.com/,47.928055555556,-112.81527777778
Moonlight Basin,http://www.moonlightbasin.com,45.297939305035,-111.4341136496
Lost Trail Powder Mountain,,45.69,-113.95
Bridger Bowl Ski Area,https://bridgerbowl.com/,45.817325035678,-110.91323039548
Snow Creek,http://skisnowcreek.com/,39.4652384581641,-94.9686312675476
Hidden Valley,https://www.hiddenvalleyski.com/,38.5351416336432,-90.6533432006836
Coffee Mill,,44.360494475056,-92.0425987243652
